Dates,Times,qr
2020-02-22,0,1
2020-03-23,30,0.73
2020-04-12,50,0.55
2020-04-30,68,0.66
2020-05-10,78,0.71
2020-06-21,120,0.81
2020-09-16,207,0.88
2020-11-02,254,0.92
2020-11-21,273,0.9
2020-12-12,294,0.93
2020-12-24,306,0.93
2020-12-31,313,0.92
2021-01-06,319,0.93
2021-02-14,358,0.91
2021-03-14,386,0.9
2021-04-04,407,0.89
2021-04-30,433,0.92
2021-05-10,443,0.91
2021-06-20,484,0.95
2021-08-23,548,0.95
2021-08-30,555,0.95
